"date","hono","flag"
2023-02-10 09:55:00,-1.05711518686487,1
2023-02-10 10:00:00,-1.89302433173465,1
2023-02-10 10:05:00,-1.92132742630959,1
2023-02-10 10:10:00,-2.07056486356266,1
2023-02-10 10:15:00,-2.90488192114596,1
2023-02-10 10:20:00,-2.05756404218379,1
2023-02-10 10:25:00,-1.60205414477839,1
2023-02-10 10:30:00,-1.46731880529731,1
2023-02-10 10:35:00,-1.42714633094596,1
2023-02-10 10:40:00,-1.43149947503785,1
2023-02-10 10:45:00,-1.47734788425947,1
2023-02-10 10:50:00,-1.22474070328109,1
2023-02-10 10:55:00,-1.40615015400001,1
2023-02-10 11:00:00,-1.45701310270271,1
2023-02-10 11:05:00,-1.42709017244325,1
2023-02-10 11:10:00,-1.24276857109911,1
2023-02-10 11:15:00,-1.26485701912974,1
2023-02-10 11:20:00,-1.30222905795579,1
2023-02-10 11:25:00,-1.24804967964866,1
2023-02-10 11:30:00,-1.29257529809191,1
2023-02-10 11:35:00,-1.23405222835137,1
2023-02-10 11:40:00,-1.19095754881082,1
2023-02-10 11:45:00,-1.29422670212433,1
2023-02-10 11:50:00,-1.13375726984866,1
2023-02-10 11:55:00,-0.998761982259468,1
2023-02-10 12:00:00,-2.43154769928109,1
2023-02-10 12:05:00,-2.58827756211352,1
2023-02-10 12:10:00,-0.838450724681086,1
2023-02-10 12:15:00,17.7497862218649,1
2023-02-10 12:20:00,13.1908039733622,1
2023-02-10 12:25:00,12.2270618673297,0
2023-02-10 12:30:00,12.8788563583892,0
2023-02-10 12:35:00,12.7220225163135,0
2023-02-10 12:40:00,12.137345066173,0
2023-02-10 12:45:00,11.584298108827,0
2023-02-10 12:50:00,12.4249417065135,0
2023-02-10 12:55:00,12.8233033145784,0
2023-02-10 13:00:00,11.5855085826,0
2023-02-10 13:05:00,12.0731980511838,0
2023-02-10 13:10:00,13.5716448569351,0
2023-02-10 13:15:00,12.2803415946973,0
2023-02-10 13:20:00,13.7266026609676,0
2023-02-10 13:25:00,11.5191049266919,0.4
2023-02-10 13:30:00,10.4004008477459,2
2023-02-10 13:35:00,3.03745085761081,2
2023-02-10 13:40:00,0.316309096827025,2
2023-02-10 13:45:00,0.0574207440918905,2
2023-02-10 13:50:00,0,2
2023-02-10 13:55:00,0.351454198956895,2
2023-02-10 14:00:00,10.3626979698554,2
2023-02-10 14:05:00,14.9590827098459,2
2023-02-10 14:10:00,10.6677271553879,2
2023-02-10 14:15:00,9.89831726718382,1.2
2023-02-10 14:20:00,10.3904520175852,0
2023-02-10 14:25:00,12.7087506988082,0
2023-02-10 14:30:00,12.3905495535393,0
2023-02-10 14:35:00,11.9092895529407,0
2023-02-10 14:40:00,12.425891763861,0
2023-02-10 14:45:00,12.7543062635434,0
2023-02-10 14:50:00,12.3068814070367,0
2023-02-10 14:55:00,11.4911821793516,0
2023-02-10 15:00:00,10.1437087948989,0
2023-02-10 15:05:00,10.260626606976,0
2023-02-10 15:10:00,9.76735334124763,0
2023-02-10 15:15:00,11.4060830939463,0
2023-02-10 15:20:00,9.94944415618012,0
2023-02-10 15:25:00,10.4625750835274,0
2023-02-10 15:30:00,9.29932103797747,0
2023-02-10 15:35:00,10.9006882045086,0
2023-02-10 15:40:00,17.3152481410289,1.8
2023-02-10 15:45:00,11.6038627018573,0
2023-02-10 15:50:00,11.1160449058695,0
2023-02-10 15:55:00,11.3896842430168,0
2023-02-10 16:00:00,10.0845879842128,0
2023-02-10 16:05:00,9.66510187179793,0
2023-02-10 16:10:00,10.5772558025993,0
2023-02-10 16:15:00,11.0275105161142,0
2023-02-10 16:20:00,11.4982643178129,0
2023-02-10 16:25:00,9.32386816333857,0
2023-02-10 16:30:00,8.49791939156157,0
2023-02-10 16:35:00,9.09464608605484,0
2023-02-10 16:40:00,9.11788289352109,0
2023-02-10 16:45:00,7.62063055114409,0
2023-02-10 16:50:00,7.02496999262114,0
2023-02-10 16:55:00,6.522990438709,0
2023-02-10 17:00:00,7.5716434300293,0
2023-02-10 17:05:00,7.60039186573879,0
2023-02-10 17:10:00,7.38474231989152,0
2023-02-10 17:15:00,6.86876531468208,0
2023-02-10 17:20:00,6.73676769448346,0
2023-02-10 17:25:00,7.02594773883619,0
2023-02-10 17:30:00,6.69727658434568,0
2023-02-10 17:35:00,7.34574808806057,0
2023-02-10 17:40:00,8.04886576178087,2.4
2023-02-10 17:45:00,5.44008904825792,0.6
2023-02-10 17:50:00,6.04160981710254,0
2023-02-10 17:55:00,5.1770318268823,0
2023-02-10 18:00:00,5.25768937844043,0
2023-02-10 18:05:00,5.15649654902019,0
2023-02-10 18:10:00,5.06362523602697,0
