"date","hono","hono_err","hono_lod","flag"
2023-02-07 08:38:00,NA,NA,0.269752189872438,1
2023-02-07 08:43:00,NA,NA,0.269752189872438,1
2023-02-07 08:48:00,NA,NA,0.269752189872438,1
2023-02-07 08:53:00,NA,NA,0.269752189872438,1
2023-02-07 08:58:00,NA,NA,0.269752189872438,1
2023-02-07 09:03:00,NA,NA,0.269752189872438,1
2023-02-07 09:08:00,NA,NA,0.269752189872438,1
2023-02-07 09:13:00,NA,NA,0.269752189872438,1
2023-02-07 09:18:00,NA,NA,0.269752189872438,1
2023-02-07 09:23:00,NA,NA,0.269752189872438,1
2023-02-07 09:28:00,NA,NA,0.269752189872438,1
2023-02-07 09:33:00,NA,NA,0.269752189872438,1
2023-02-07 09:38:00,NA,NA,0.269752189872438,1
2023-02-07 09:43:00,NA,NA,0.269752189872438,1
2023-02-07 09:48:00,NA,NA,0.269752189872438,1
2023-02-07 09:53:00,NA,NA,0.269752189872438,1
2023-02-07 09:58:00,NA,NA,0.269752189872438,1
2023-02-07 10:03:00,NA,NA,0.269752189872438,1
2023-02-07 10:08:00,NA,NA,0.110806430620789,1
2023-02-07 10:13:00,NA,NA,0.110806430620789,1
2023-02-07 10:18:00,NA,NA,0.110806430620789,1
2023-02-07 10:23:00,NA,NA,0.110806430620789,1
2023-02-07 10:28:00,NA,NA,0.110806430620789,1
2023-02-07 10:33:00,NA,NA,0.110806430620789,1
2023-02-07 10:38:00,NA,NA,0.110806430620789,1
2023-02-07 10:43:00,NA,NA,0.110806430620789,1
2023-02-07 10:48:00,NA,NA,0.110806430620789,1
2023-02-07 10:53:00,NA,NA,0.110806430620789,1
2023-02-07 10:58:00,1.34424260405113,0.245230691025902,0.110806430620789,1
2023-02-07 11:03:00,1.86216245218965,0.297022675839754,0.110806430620789,1
2023-02-07 11:08:00,1.75302872236876,0.286109302857666,0.110806430620789,1
2023-02-07 11:13:00,1.5797728006613,0.26878371068692,0.110806430620789,1
2023-02-07 11:18:00,1.26268662575329,0.237075093196119,0.110806430620789,1
2023-02-07 11:23:00,0.95741444767017,0.206547875387806,0.110806430620789,1
2023-02-07 11:28:00,0.880659302215513,0.198872360842341,0.110806430620789,1
2023-02-07 11:33:00,NA,NA,0.110806430620789,1
2023-02-07 11:38:00,1.45692069505468,0.256498500126257,0.110806430620789,1
2023-02-07 11:43:00,1.85384508609573,0.296190939230362,0.110806430620789,1
